workerid,proliferate.condition,participant_id,error
495,Condition.54_M_L_A_Sh_01_B_0_1,a60aba88-f448-4be2-9607-7bc31e7bdde9,
451,Condition.47_M_L_A_S_05_B_1_0,c2c09330-37e8-4472-a566-8586e303a0ee,
445,Condition.61_M_L_A_Sh_05_B_0_0,f6dbcf09-06b4-4828-9e8d-810df367fbee,
455,Condition.49_M_L_A_Sh_01_A_0_0,5e206d6c-cd57-4bb3-8b11-f256554fbb6d,
493,Condition.57_M_L_A_Sh_05_A_0_0,3ee4e4d8-8dca-4097-a1f7-158ecf7922cb,
535,Condition.34_M_L_A_S_01_A_0_1,b7a4823c-a26e-41e1-ba4a-891863140953,
546,Condition.15_F_L_A_S_05_B_1_0,3b0e527a-623d-4f39-9bfb-d530d7f5df76,
544,Condition.58_M_L_A_Sh_05_A_0_1,5dc37950-43f9-4e9d-8a64-ab206b916946,
501,Condition.8_F_L_A_S_01_B_1_1,ed1db97e-0d9c-4427-a6d9-6733f12fd47b,
531,Condition.41_M_L_A_S_05_A_0_0,bfeb5355-3ec0-4d1e-a9f4-8554dee25765,
490,Condition.21_F_L_A_Sh_01_B_0_0,93c32583-8ff5-4f70-aae3-9a89f3194acb,
461,Condition.31_F_L_A_Sh_05_B_1_0,9e29ddaa-090e-4619-9645-00d0ac76d193,
539,Condition.7_F_L_A_S_01_B_1_0,6a32b88a-3129-4ea4-8ca1-ceffb3ce0c44,
533,Condition.12_F_L_A_S_05_A_1_1,41cc9036-b776-4997-beb4-7070f7926848,
509,Condition.12_F_L_A_S_05_A_1_1,a83f29a4-14c1-43a1-9581-2c043f94c298,
446,Condition.20_F_L_A_Sh_01_A_1_1,0fe71a44-33b7-4535-a0f7-e376720416e8,
483,Condition.40_M_L_A_S_01_B_1_1,f79b56a9-1548-4f13-aac5-d21243d5d0ba,
534,Condition.30_F_L_A_Sh_05_B_0_1,9c84d789-80a5-4f0b-b04a-bafe271cb661,
481,Condition.42_M_L_A_S_05_A_0_1,8367c7fc-840e-4492-adca-fe30d8ee9ed3,
523,Condition.23_F_L_A_Sh_01_B_1_0,1b5368c9-2d0f-495e-bb4f-39083389e1ec,
517,Condition.23_F_L_A_Sh_01_B_1_0,ec7c0ee5-0899-4e63-ac60-1a18a9ec10ec,
469,Condition.62_M_L_A_Sh_05_B_0_1,5c78874f-0024-41b7-961f-436a4a8d3122,
452,Condition.52_M_L_A_Sh_01_A_1_1,9695b83e-48a8-484d-a5e1-40a20d918254,
511,Condition.33_M_L_A_S_01_A_0_0,768665aa-81aa-4f9f-9f36-d67c0173a97e,
470,Condition.37_M_L_A_S_01_B_0_0,0987f0b5-bcd1-4ad7-bff8-12d11989f4fc,
465,Condition.39_M_L_A_S_01_B_1_0,1ac87375-24d0-4b54-a9d5-0550b473fa10,
456,Condition.13_F_L_A_S_05_B_0_0,338accac-a192-4fed-920e-f13eee4c975c,
454,Condition.29_F_L_A_Sh_05_B_0_0,1fdd585b-c15b-4cb4-abd6-6e1de575b906,
472,Condition.53_M_L_A_Sh_01_B_0_0,b5433f46-96e0-42da-97d8-201d5c38827c,
537,Condition.55_M_L_A_Sh_01_B_1_0,19dd295b-691e-4e35-8acd-01ac11524e21,
467,Condition.56_M_L_A_Sh_01_B_1_1,091f5217-93ed-475b-9f5e-0fbb8474ce33,
548,Condition.22_F_L_A_Sh_01_B_0_1,b555cabb-afbc-49b4-ab58-b98ddd7a5c6e,
460,Condition.19_F_L_A_Sh_01_A_1_0,d0dcf1e8-dd15-4414-937f-b58f8269d36a,
447,Condition.16_F_L_A_S_05_B_1_1,66662800-3f3f-4c5b-a8ce-000fa85a05f9,
443,Condition.11_F_L_A_S_05_A_1_0,a9587b1a-ac9f-4ded-a210-5f101dda6bd7,
453,Condition.10_F_L_A_S_05_A_0_1,22a54f2b-0452-4ebd-9916-ef92c1443236,
494,Condition.18_F_L_A_Sh_01_A_0_1,4ee594e0-f9fb-47e3-8a7f-62976bdc2f07,
550,Condition.36_M_L_A_S_01_A_1_1,c0a3cfa0-2f9f-40f9-8c75-e77db7787b6d,
549,Condition.59_M_L_A_Sh_05_A_1_0,2c947907-df5d-4e5e-bc91-56f61620a309,
543,Condition.6_F_L_A_S_01_B_0_1,40fdaa8c-2182-4a04-a7e5-a3477d798603,
448,Condition.3_F_L_A_S_01_A_1_0,cb9f8e20-bbb2-42ba-9ce6-7047fc919b36,
524,Condition.24_F_L_A_Sh_01_B_1_1,0a55ce75-4e4b-4fa8-a2a6-39cbc05f6e6a,
521,Condition.24_F_L_A_Sh_01_B_1_1,433e7d9b-a247-4162-87c8-16efc48fc7df,
482,Condition.46_M_L_A_S_05_B_0_1,e266be9b-b9ad-427d-a52e-89cad798bf18,
540,Condition.35_M_L_A_S_01_A_1_0,8d76b80a-ccf3-4e9b-9e26-478994e8121c,
508,Condition.5_F_L_A_S_01_B_0_0,ef913395-b922-4f65-a517-fa4f5f90ca8d,
458,Condition.26_F_L_A_Sh_05_A_0_1,c6ff0437-b1b5-4a9d-bebb-4cd696e28cf0,
449,Condition.60_M_L_A_Sh_05_A_1_1,bcdf9231-fc2f-4905-acc8-e8a723ded137,
444,Condition.2_F_L_A_S_01_A_0_1,ba79e319-1f80-4d82-b5fa-d068cc7f4062,
485,Condition.9_F_L_A_S_05_A_0_0,218476c3-319b-4439-9218-33c314d71bd4,
504,Condition.50_M_L_A_Sh_01_A_0_1,a7669574-beb7-41ad-bef1-6ed97e50a6f6,
541,Condition.45_M_L_A_S_05_B_0_0,f4c00ac0-7b7b-4ff5-bd85-3a9b47433070,
