workerid,proliferate.condition,userDateTimeAtSubmit,error
495,Condition.54_M_L_A_Sh_01_B_0_1,2023-03-07T17:50:37.298Z,
451,Condition.47_M_L_A_S_05_B_1_0,2023-03-07T02:28:23.759Z,
445,Condition.61_M_L_A_Sh_05_B_0_0,2023-03-07T02:14:21.704Z,
455,Condition.49_M_L_A_Sh_01_A_0_0,2023-03-07T17:10:56.204Z,
493,Condition.57_M_L_A_Sh_05_A_0_0,2023-03-07T17:44:52.885Z,
535,Condition.34_M_L_A_S_01_A_0_1,2023-03-07T18:06:59.972Z,
546,Condition.15_F_L_A_S_05_B_1_0,2023-03-07T18:09:18.065Z,
544,Condition.58_M_L_A_Sh_05_A_0_1,2023-03-07T18:02:52.666Z,
501,Condition.8_F_L_A_S_01_B_1_1,2023-03-07T17:54:49.621Z,
531,Condition.41_M_L_A_S_05_A_0_0,2023-03-07T18:00:51.583Z,
490,Condition.21_F_L_A_Sh_01_B_0_0,2023-03-07T17:48:29.097Z,
461,Condition.31_F_L_A_Sh_05_B_1_0,2023-03-07T17:23:12.312Z,
539,Condition.7_F_L_A_S_01_B_1_0,2023-03-07T18:12:21.407Z,
533,Condition.12_F_L_A_S_05_A_1_1,2023-03-07T18:00:09.042Z,
509,Condition.12_F_L_A_S_05_A_1_1,2023-03-07T17:52:21.966Z,
446,Condition.20_F_L_A_Sh_01_A_1_1,2023-03-07T02:16:17.976Z,
483,Condition.40_M_L_A_S_01_B_1_1,2023-03-07T17:39:46.438Z,
534,Condition.30_F_L_A_Sh_05_B_0_1,2023-03-07T17:58:09.303Z,
481,Condition.42_M_L_A_S_05_A_0_1,2023-03-07T17:38:31.574Z,
523,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-07T18:01:27.041Z,
517,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-07T18:01:58.019Z,
469,Condition.62_M_L_A_Sh_05_B_0_1,2023-03-07T17:26:35.306Z,
452,Condition.52_M_L_A_Sh_01_A_1_1,2023-03-07T03:49:46.646Z,
511,Condition.33_M_L_A_S_01_A_0_0,2023-03-07T17:55:20.526Z,
470,Condition.37_M_L_A_S_01_B_0_0,2023-03-07T17:35:00.186Z,
465,Condition.39_M_L_A_S_01_B_1_0,2023-03-07T17:26:15.250Z,
456,Condition.13_F_L_A_S_05_B_0_0,2023-03-07T17:12:18.635Z,
454,Condition.29_F_L_A_Sh_05_B_0_0,2023-03-07T17:05:16.332Z,
472,Condition.53_M_L_A_Sh_01_B_0_0,2023-03-07T17:32:30.309Z,
537,Condition.55_M_L_A_Sh_01_B_1_0,2023-03-07T18:00:42.072Z,
467,Condition.56_M_L_A_Sh_01_B_1_1,2023-03-07T17:24:21.087Z,
548,Condition.22_F_L_A_Sh_01_B_0_1,2023-03-07T18:12:59.300Z,
460,Condition.19_F_L_A_Sh_01_A_1_0,2023-03-07T17:20:02.922Z,
447,Condition.16_F_L_A_S_05_B_1_1,2023-03-07T02:21:48.547Z,
443,Condition.11_F_L_A_S_05_A_1_0,2023-03-06T23:01:55.579Z,
453,Condition.10_F_L_A_S_05_A_0_1,2023-03-07T16:59:15.874Z,
494,Condition.18_F_L_A_Sh_01_A_0_1,2023-03-07T17:49:22.443Z,
550,Condition.36_M_L_A_S_01_A_1_1,2023-03-07T19:42:02.750Z,
549,Condition.59_M_L_A_Sh_05_A_1_0,2023-03-07T18:35:41.201Z,
543,Condition.6_F_L_A_S_01_B_0_1,2023-03-07T18:05:16.354Z,
448,Condition.3_F_L_A_S_01_A_1_0,2023-03-07T02:31:04.262Z,
524,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-07T17:55:04.853Z,
521,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-07T17:57:06.602Z,
482,Condition.46_M_L_A_S_05_B_0_1,2023-03-07T17:42:49.832Z,
540,Condition.35_M_L_A_S_01_A_1_0,2023-03-07T18:01:21.851Z,
508,Condition.5_F_L_A_S_01_B_0_0,2023-03-07T17:52:28.843Z,
458,Condition.26_F_L_A_Sh_05_A_0_1,2023-03-07T17:19:26.628Z,
449,Condition.60_M_L_A_Sh_05_A_1_1,2023-03-07T02:24:14.200Z,
444,Condition.2_F_L_A_S_01_A_0_1,2023-03-07T02:04:00.174Z,
485,Condition.9_F_L_A_S_05_A_0_0,2023-03-07T17:48:45.293Z,
504,Condition.50_M_L_A_Sh_01_A_0_1,2023-03-07T17:53:57.862Z,
541,Condition.45_M_L_A_S_05_B_0_0,2023-03-07T18:01:08.903Z,
463,Condition.51_M_L_A_Sh_01_A_1_0,2023-03-07T17:34:07.707Z,
