workerid,proliferate.condition,experiment_id,error
408,Condition.23_F_L_A_Sh_01_B_1_0,6611ff95-13d6-404d-bf50-653c2c269a1f,
420,Condition.12_F_L_A_S_05_A_1_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
405,Condition.41_M_L_A_S_05_A_0_0,6611ff95-13d6-404d-bf50-653c2c269a1f,
430,Condition.43_M_L_A_S_05_A_1_0,6611ff95-13d6-404d-bf50-653c2c269a1f,
419,Condition.24_F_L_A_Sh_01_B_1_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
421,Condition.44_M_L_A_S_05_A_1_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
431,Condition.32_F_L_A_Sh_05_B_1_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
423,Condition.30_F_L_A_Sh_05_B_0_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
415,Condition.5_F_L_A_S_01_B_0_0,6611ff95-13d6-404d-bf50-653c2c269a1f,
414,Condition.48_M_L_A_S_05_B_1_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
440,Condition.14_F_L_A_S_05_B_0_1,6611ff95-13d6-404d-bf50-653c2c269a1f,
