workerid,proliferate.condition,participant_id,error
408,Condition.23_F_L_A_Sh_01_B_1_0,8c05b16e-cedb-476c-b29d-225809d4b9d0,
420,Condition.12_F_L_A_S_05_A_1_1,9a5d4de8-8d2d-4291-af33-b36620ac3395,
405,Condition.41_M_L_A_S_05_A_0_0,c2be1ff5-19e2-438d-9b8b-528d977f8a21,
430,Condition.43_M_L_A_S_05_A_1_0,5f689eba-5cb9-46a4-a9ab-90670097805c,
419,Condition.24_F_L_A_Sh_01_B_1_1,fe4d9d52-f31f-4651-98af-8e6d9f3308ca,
421,Condition.44_M_L_A_S_05_A_1_1,1fdeb127-b163-41fc-b9df-f5e362a08331,
431,Condition.32_F_L_A_Sh_05_B_1_1,4217c5f4-9b8b-458e-963d-3c4f997771ab,
423,Condition.30_F_L_A_Sh_05_B_0_1,8e24b445-2bc6-4cfb-b603-a3b8a2191d2b,
415,Condition.5_F_L_A_S_01_B_0_0,3e28f8f2-78a9-45f2-a760-c2385bd022ab,
414,Condition.48_M_L_A_S_05_B_1_1,9ae090be-6487-4a36-984c-9fa1a4d54a5e,
440,Condition.14_F_L_A_S_05_B_0_1,f6e66c83-141e-4956-86a7-f68ecdd10f47,
