workerid,proliferate.condition,word_recall,error
408,Condition.23_F_L_A_Sh_01_B_1_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
420,Condition.12_F_L_A_S_05_A_1_1,"materials.b_s_talker.a,materials.a_s_talker.b,random_word_3,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
405,Condition.41_M_L_A_S_05_A_0_0,"materials.a_s_talker.b,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",
430,Condition.43_M_L_A_S_05_A_1_0,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
419,Condition.24_F_L_A_Sh_01_B_1_1,"materials.b_s_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
421,Condition.44_M_L_A_S_05_A_1_1,"materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
431,Condition.32_F_L_A_Sh_05_B_1_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
423,Condition.30_F_L_A_Sh_05_B_0_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
415,Condition.5_F_L_A_S_01_B_0_0,materials.a_s_talker.b,
414,Condition.48_M_L_A_S_05_B_1_1,random_word_4,
440,Condition.14_F_L_A_S_05_B_0_1,"materials.a_s_talker.b,materials.b_sh_talker.b",
