workerid,proliferate.condition,userDateTimeAtInitialization,error
408,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-02T21:42:58.894Z,
420,Condition.12_F_L_A_S_05_A_1_1,2023-03-02T21:55:17.312Z,
405,Condition.41_M_L_A_S_05_A_0_0,2023-03-02T21:29:57.819Z,
430,Condition.43_M_L_A_S_05_A_1_0,2023-03-02T22:15:24.951Z,
419,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-02T21:55:16.214Z,
421,Condition.44_M_L_A_S_05_A_1_1,2023-03-02T21:56:51.354Z,
431,Condition.32_F_L_A_Sh_05_B_1_1,2023-03-02T22:16:13.815Z,
423,Condition.30_F_L_A_Sh_05_B_0_1,2023-03-02T22:00:24.491Z,
415,Condition.5_F_L_A_S_01_B_0_0,2023-03-02T21:53:59.803Z,
414,Condition.48_M_L_A_S_05_B_1_1,2023-03-02T21:53:46.920Z,
440,Condition.14_F_L_A_S_05_B_0_1,2023-03-06T19:59:36.420Z,
