workerid,proliferate.condition,userDateTimeAtSubmit,error
408,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-02T21:54:32.034Z,
420,Condition.12_F_L_A_S_05_A_1_1,2023-03-02T22:12:12.334Z,
405,Condition.41_M_L_A_S_05_A_0_0,2023-03-02T21:46:53.119Z,
430,Condition.43_M_L_A_S_05_A_1_0,2023-03-02T22:30:38.293Z,
419,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-02T22:09:52.296Z,
421,Condition.44_M_L_A_S_05_A_1_1,2023-03-02T22:14:23.037Z,
431,Condition.32_F_L_A_Sh_05_B_1_1,2023-03-02T22:30:30.460Z,
423,Condition.30_F_L_A_Sh_05_B_0_1,2023-03-02T22:14:44.805Z,
415,Condition.5_F_L_A_S_01_B_0_0,2023-03-02T22:12:18.691Z,
414,Condition.48_M_L_A_S_05_B_1_1,2023-03-02T22:13:18.466Z,
440,Condition.14_F_L_A_S_05_B_0_1,2023-03-06T20:15:57.352Z,
