workerid,proliferate.condition,audio_type,error
495,Condition.54_M_L_A_Sh_01_B_0_1,in-ear,
451,Condition.47_M_L_A_S_05_B_1_0,over-ear,
445,Condition.61_M_L_A_Sh_05_B_0_0,in-ear,
455,Condition.49_M_L_A_Sh_01_A_0_0,over-ear,
493,Condition.57_M_L_A_Sh_05_A_0_0,over-ear,
535,Condition.34_M_L_A_S_01_A_0_1,in-ear,
546,Condition.15_F_L_A_S_05_B_1_0,over-ear,
544,Condition.58_M_L_A_Sh_05_A_0_1,over-ear,
501,Condition.8_F_L_A_S_01_B_1_1,in-ear,
531,Condition.41_M_L_A_S_05_A_0_0,over-ear,
490,Condition.21_F_L_A_Sh_01_B_0_0,over-ear,
461,Condition.31_F_L_A_Sh_05_B_1_0,over-ear,
539,Condition.7_F_L_A_S_01_B_1_0,over-ear,
533,Condition.12_F_L_A_S_05_A_1_1,in-ear,
509,Condition.12_F_L_A_S_05_A_1_1,in-ear,
446,Condition.20_F_L_A_Sh_01_A_1_1,in-ear,
483,Condition.40_M_L_A_S_01_B_1_1,over-ear,
534,Condition.30_F_L_A_Sh_05_B_0_1,over-ear,
481,Condition.42_M_L_A_S_05_A_0_1,over-ear,
523,Condition.23_F_L_A_Sh_01_B_1_0,over-ear,
517,Condition.23_F_L_A_Sh_01_B_1_0,over-ear,
469,Condition.62_M_L_A_Sh_05_B_0_1,over-ear,
452,Condition.52_M_L_A_Sh_01_A_1_1,in-ear,
511,Condition.33_M_L_A_S_01_A_0_0,over-ear,
470,Condition.37_M_L_A_S_01_B_0_0,in-ear,
465,Condition.39_M_L_A_S_01_B_1_0,over-ear,
456,Condition.13_F_L_A_S_05_B_0_0,in-ear,
454,Condition.29_F_L_A_Sh_05_B_0_0,computer speakers,
472,Condition.53_M_L_A_Sh_01_B_0_0,over-ear,
537,Condition.55_M_L_A_Sh_01_B_1_0,over-ear,
467,Condition.56_M_L_A_Sh_01_B_1_1,in-ear,
548,Condition.22_F_L_A_Sh_01_B_0_1,in-ear,
460,Condition.19_F_L_A_Sh_01_A_1_0,over-ear,
447,Condition.16_F_L_A_S_05_B_1_1,over-ear,
443,Condition.11_F_L_A_S_05_A_1_0,over-ear,
453,Condition.10_F_L_A_S_05_A_0_1,over-ear,
494,Condition.18_F_L_A_Sh_01_A_0_1,over-ear,
550,Condition.36_M_L_A_S_01_A_1_1,over-ear,
549,Condition.59_M_L_A_Sh_05_A_1_0,in-ear,
543,Condition.6_F_L_A_S_01_B_0_1,over-ear,
448,Condition.3_F_L_A_S_01_A_1_0,in-ear,
524,Condition.24_F_L_A_Sh_01_B_1_1,over-ear,
521,Condition.24_F_L_A_Sh_01_B_1_1,over-ear,
482,Condition.46_M_L_A_S_05_B_0_1,in-ear,
540,Condition.35_M_L_A_S_01_A_1_0,over-ear,
508,Condition.5_F_L_A_S_01_B_0_0,over-ear,
458,Condition.26_F_L_A_Sh_05_A_0_1,in-ear,
449,Condition.60_M_L_A_Sh_05_A_1_1,over-ear,
444,Condition.2_F_L_A_S_01_A_0_1,in-ear,
485,Condition.9_F_L_A_S_05_A_0_0,over-ear,
504,Condition.50_M_L_A_Sh_01_A_0_1,in-ear,
541,Condition.45_M_L_A_S_05_B_0_0,over-ear,
463,Condition.51_M_L_A_Sh_01_A_1_0,over-ear,
