workerid,proliferate.condition,comments,error
495,Condition.54_M_L_A_Sh_01_B_0_1,,
451,Condition.47_M_L_A_S_05_B_1_0,None at this time. Thank you!,
445,Condition.61_M_L_A_Sh_05_B_0_0,n/a,
455,Condition.49_M_L_A_Sh_01_A_0_0,,
493,Condition.57_M_L_A_Sh_05_A_0_0,My mom came in during the second part so I might have gotten a few wrong. I am not sure if I got the word/non-word mixed up in the beginning part of part 1,
535,Condition.34_M_L_A_S_01_A_0_1,,
546,Condition.15_F_L_A_S_05_B_1_0,,
544,Condition.58_M_L_A_Sh_05_A_0_1,,
501,Condition.8_F_L_A_S_01_B_1_1,I enjoyed the study very much,
531,Condition.41_M_L_A_S_05_A_0_0,,
490,Condition.21_F_L_A_Sh_01_B_0_0,,
461,Condition.31_F_L_A_Sh_05_B_1_0,,
539,Condition.7_F_L_A_S_01_B_1_0,this was fun!,
533,Condition.12_F_L_A_S_05_A_1_1,,
509,Condition.12_F_L_A_S_05_A_1_1,Thank you for the opportunity to participate in this study,
446,Condition.20_F_L_A_Sh_01_A_1_1,"This was really interesting, thanks! Also, the instructions were very clear.",
483,Condition.40_M_L_A_S_01_B_1_1,,
534,Condition.30_F_L_A_Sh_05_B_0_1,,
481,Condition.42_M_L_A_S_05_A_0_1,,
523,Condition.23_F_L_A_Sh_01_B_1_0,none,
517,Condition.23_F_L_A_Sh_01_B_1_0,,
469,Condition.62_M_L_A_Sh_05_B_0_1,,
452,Condition.52_M_L_A_Sh_01_A_1_1,No comments,
511,Condition.33_M_L_A_S_01_A_0_0,,
470,Condition.37_M_L_A_S_01_B_0_0,,
465,Condition.39_M_L_A_S_01_B_1_0,I had a hard time telling the difference between S and SH whenever both speakers talked,
456,Condition.13_F_L_A_S_05_B_0_0,none.,
454,Condition.29_F_L_A_Sh_05_B_0_0,this was interesting,
472,Condition.53_M_L_A_Sh_01_B_0_0,,
537,Condition.55_M_L_A_Sh_01_B_1_0,,
467,Condition.56_M_L_A_Sh_01_B_1_1,,
548,Condition.22_F_L_A_Sh_01_B_0_1,,
460,Condition.19_F_L_A_Sh_01_A_1_0,,
447,Condition.16_F_L_A_S_05_B_1_1,,
443,Condition.11_F_L_A_S_05_A_1_0,Great audio and interesting exercises and I understood everything. Thanks and I hope you have a great day! :),
453,Condition.10_F_L_A_S_05_A_0_1,,
494,Condition.18_F_L_A_Sh_01_A_0_1,I really enjoyed the experiment and hope to see more in the future.,
550,Condition.36_M_L_A_S_01_A_1_1,,
549,Condition.59_M_L_A_Sh_05_A_1_0,,
543,Condition.6_F_L_A_S_01_B_0_1,,
448,Condition.3_F_L_A_S_01_A_1_0,N/A,
524,Condition.24_F_L_A_Sh_01_B_1_1,None.,
521,Condition.24_F_L_A_Sh_01_B_1_1,,
482,Condition.46_M_L_A_S_05_B_0_1,Thank you.,
540,Condition.35_M_L_A_S_01_A_1_0,,
508,Condition.5_F_L_A_S_01_B_0_0,"Definitely had a hard time telling ASI from ASH in the female voice, caught a few with the male voice. ",
458,Condition.26_F_L_A_Sh_05_A_0_1,,
449,Condition.60_M_L_A_Sh_05_A_1_1,,
444,Condition.2_F_L_A_S_01_A_0_1,"there were a few words that I selected as ""non-words"" because I was throw off by the pronunciation differences. ",
485,Condition.9_F_L_A_S_05_A_0_0,,
504,Condition.50_M_L_A_Sh_01_A_0_1,None.,
541,Condition.45_M_L_A_S_05_B_0_0,,
463,Condition.51_M_L_A_Sh_01_A_1_0,,
