workerid,proliferate.condition,word_recall,error
495,Condition.54_M_L_A_Sh_01_B_0_1,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
451,Condition.47_M_L_A_S_05_B_1_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b",
445,Condition.61_M_L_A_Sh_05_B_0_0,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
455,Condition.49_M_L_A_Sh_01_A_0_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
493,Condition.57_M_L_A_Sh_05_A_0_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,random_word_3,materials.b_sh_talker.b,materials.a_sh_talker.a,random_word_4",
535,Condition.34_M_L_A_S_01_A_0_1,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
546,Condition.15_F_L_A_S_05_B_1_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",
544,Condition.58_M_L_A_Sh_05_A_0_1,"materials.b_s_talker.a,materials.a_sh_talker.a",
501,Condition.8_F_L_A_S_01_B_1_1,"materials.a_s_talker.b,materials.a_sh_talker.a,random_word_2,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",
531,Condition.41_M_L_A_S_05_A_0_0,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
490,Condition.21_F_L_A_Sh_01_B_0_0,"materials.b_s_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
461,Condition.31_F_L_A_Sh_05_B_1_0,"materials.b_s_talker.a,materials.b_sh_talker.b,random_word_4",
539,Condition.7_F_L_A_S_01_B_1_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",
533,Condition.12_F_L_A_S_05_A_1_1,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
509,Condition.12_F_L_A_S_05_A_1_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.a_s_talker.b",
446,Condition.20_F_L_A_Sh_01_A_1_1,"materials.b_s_talker.a,materials.a_sh_talker.a",
483,Condition.40_M_L_A_S_01_B_1_1,"materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
534,Condition.30_F_L_A_Sh_05_B_0_1,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
481,Condition.42_M_L_A_S_05_A_0_1,"materials.b_s_talker.a,random_word_1,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",
523,Condition.23_F_L_A_Sh_01_B_1_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
517,Condition.23_F_L_A_Sh_01_B_1_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
469,Condition.62_M_L_A_Sh_05_B_0_1,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a",
452,Condition.52_M_L_A_Sh_01_A_1_1,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
511,Condition.33_M_L_A_S_01_A_0_0,"materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
470,Condition.37_M_L_A_S_01_B_0_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",
465,Condition.39_M_L_A_S_01_B_1_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.a_s_talker.b",
456,Condition.13_F_L_A_S_05_B_0_0,"materials.a_s_talker.b,random_word_2,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",
454,Condition.29_F_L_A_Sh_05_B_0_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
472,Condition.53_M_L_A_Sh_01_B_0_0,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
537,Condition.55_M_L_A_Sh_01_B_1_0,"materials.b_s_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b",
467,Condition.56_M_L_A_Sh_01_B_1_1,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
548,Condition.22_F_L_A_Sh_01_B_0_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
460,Condition.19_F_L_A_Sh_01_A_1_0,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_s_talker.b,materials.b_sh_talker.b",
447,Condition.16_F_L_A_S_05_B_1_1,"random_word_1,materials.a_s_talker.b,materials.b_sh_talker.b",
443,Condition.11_F_L_A_S_05_A_1_0,"random_word_1,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
453,Condition.10_F_L_A_S_05_A_0_1,"materials.a_s_talker.b,random_word_2,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a,random_word_4",
494,Condition.18_F_L_A_Sh_01_A_0_1,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a",
550,Condition.36_M_L_A_S_01_A_1_1,"random_word_1,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
549,Condition.59_M_L_A_Sh_05_A_1_0,"materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a",
543,Condition.6_F_L_A_S_01_B_0_1,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
448,Condition.3_F_L_A_S_01_A_1_0,"materials.a_s_talker.b,materials.a_sh_talker.a",
524,Condition.24_F_L_A_Sh_01_B_1_1,"materials.b_s_talker.a,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b,materials.a_sh_talker.a",
521,Condition.24_F_L_A_Sh_01_B_1_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
482,Condition.46_M_L_A_S_05_B_0_1,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.a_sh_talker.a",
540,Condition.35_M_L_A_S_01_A_1_0,"materials.a_s_talker.b,materials.b_s_talker.a,materials.a_sh_talker.a",
508,Condition.5_F_L_A_S_01_B_0_0,"random_word_1,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
458,Condition.26_F_L_A_Sh_05_A_0_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.b_sh_talker.b",
449,Condition.60_M_L_A_Sh_05_A_1_1,"materials.a_s_talker.b,materials.b_s_talker.a,materials.a_s_talker.b,materials.a_sh_talker.a",
444,Condition.2_F_L_A_S_01_A_0_1,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b",
485,Condition.9_F_L_A_S_05_A_0_0,"materials.b_s_talker.a,materials.a_s_talker.b,materials.a_s_talker.b,materials.b_sh_talker.b,random_word_4",
504,Condition.50_M_L_A_Sh_01_A_0_1,"materials.b_s_talker.a,materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b,materials.a_sh_talker.a",
541,Condition.45_M_L_A_S_05_B_0_0,"materials.a_s_talker.b,materials.b_s_talker.a,materials.b_sh_talker.b",
463,Condition.51_M_L_A_Sh_01_A_1_0,"materials.b_s_talker.a,materials.b_s_talker.a,materials.a_sh_talker.a,random_word_4",
