name,experiment_URL,participants
Condition_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=0.html,1
Condition_2,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=1.html,1
Condition_3,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=0.html,1
Condition_4,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=1.html,1
Condition_5,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=0.html,1
Condition_6,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=1.html,1
Condition_7,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=B&respKeyExp=1&respKeyTest=0.html,1
Condition_8,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=01&TestOrder=B&respKeyExp=1&respKeyTest=1.html,1
Condition_9,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=A&respKeyExp=0&respKeyTest=0.html,1
Condition_10,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=A&respKeyExp=0&respKeyTest=1.html,1
Condition_11,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=A&respKeyExp=1&respKeyTest=0.html,1
Condition_12,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=A&respKeyExp=1&respKeyTest=1.html,1
Condition_13,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=B&respKeyExp=0&respKeyTest=0.html,1
Condition_14,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=B&respKeyExp=0&respKeyTest=1.html,1
Condition_15,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=B&respKeyExp=1&respKeyTest=0.html,1
Condition_16,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=05&TestOrder=B&respKeyExp=1&respKeyTest=1.html,1
Condition_17,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=0.html,1
Condition_18,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=1.html,1
Condition_19,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=0.html,1
Condition_20,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=1.html,1
Condition_21,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=0.html,1
Condition_22,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=1.html,1
Condition_23,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=1&respKeyTest=0.html,1
Condition_24,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=1&respKeyTest=1.html,1
Condition_25,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=05&TestOrder=A&respKeyExp=0&respKeyTest=0.html,1
