Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Ambition,Materials A,Sh,Male,Right,Parasite,Materials A,S,Female,Left,1,FALSE,Critical_As.Parasite.F.L_Ash.Ambition.M.R.wav
Exposure,Critical,1,2,Shifted,Machinery,Materials A,Sh,Male,Right,Obscene,Materials A,S,Female,Left,1,FALSE,Critical_As.Obscene.F.L_Ash.Machinery.M.R.wav
Exposure,Critical,1,3,Shifted,Brochure,Materials A,Sh,Male,Right,Medicine,Materials A,S,Female,Left,1,FALSE,Critical_As.Medicine.F.L_Ash.Brochure.M.R.wav
Exposure,Critical,1,4,Shifted,Official,Materials A,Sh,Male,Right,Tennessee,Materials A,S,Female,Left,1,FALSE,Critical_As.Tennessee.F.L_Ash.Official.M.R.wav
Exposure,Critical,1,5,Shifted,Crucial,Materials A,Sh,Male,Right,Peninsula,Materials A,S,Female,Left,1,FALSE,Critical_As.Peninsula.F.L_Ash.Crucial.M.R.wav
Exposure,Critical,1,6,Shifted,Pediatrician,Materials A,Sh,Male,Right,Hallucinate,Materials A,S,Female,Left,1,FALSE,Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav
Exposure,Critical,1,7,Shifted,Flourishing,Materials A,Sh,Male,Right,Arkansas,Materials A,S,Female,Left,1,FALSE,Critical_As.Arkansas.F.L_Ash.Flourishing.M.R.wav
Exposure,Critical,1,8,Shifted,Reassure,Materials A,Sh,Male,Right,Compensate,Materials A,S,Female,Left,1,FALSE,Critical_As.Compensate.F.L_Ash.Reassure.M.R.wav
Exposure,Critical,1,9,Shifted,Graduation,Materials A,Sh,Male,Right,Dinosaur,Materials A,S,Female,Left,1,FALSE,Critical_As.Dinosaur.F.L_Ash.Graduation.M.R.wav
Exposure,Critical,1,10,Shifted,Vacation,Materials A,Sh,Male,Right,Rehersal,Materials A,S,Female,Left,1,FALSE,Critical_As.Rehersal.F.L_Ash.Vacation.M.R.wav
Exposure,Critical,1,11,Unshifted,Pregnancy,Materials B,S,Male,Right,Initial,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Initial.F.L_S.Pregnancy.M.R.wav
Exposure,Critical,1,12,Unshifted,Democracy,Materials B,S,Male,Right,Beneficial,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Beneficial.F.L_S.Democracy.M.R.wav
Exposure,Critical,1,13,Unshifted,Embassy,Materials B,S,Male,Right,Negotiate,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Negotiate.F.L_S.Embassy.M.R.wav
Exposure,Critical,1,14,Unshifted,Legacy,Materials B,S,Male,Right,Commercial,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Commercial.F.L_S.Legacy.M.R.wav
Exposure,Critical,1,15,Unshifted,Reconcile,Materials B,S,Male,Right,Parachute,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Parachute.F.L_S.Reconcile.M.R.wav
Exposure,Critical,1,16,Unshifted,Personal,Materials B,S,Male,Right,Efficient,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Efficient.F.L_S.Personal.M.R.wav
Exposure,Critical,1,17,Unshifted,Eraser,Materials B,S,Male,Right,Publisher,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Publisher.F.L_S.Eraser.M.R.wav
Exposure,Critical,1,18,Unshifted,Episode,Materials B,S,Male,Right,Glacier,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Glacier.F.L_S.Episode.M.R.wav
Exposure,Critical,1,19,Unshifted,Literacy,Materials B,S,Male,Right,Refreshing,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Refreshing.F.L_S.Literacy.M.R.wav
Exposure,Critical,1,20,Unshifted,Coliseum,Materials B,S,Male,Right,Impatient,Materials B,Sh,Female,Left,1,FALSE,Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav
