Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Parasite,Materials A,S,Female,Right,Ambition,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Ambition.M.L_S.Parasite.F.R.wav
Exposure,Critical,1,2,Unshifted,Obscene,Materials A,S,Female,Right,Machinery,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Machinery.M.L_S.Obscene.F.R.wav
Exposure,Critical,1,3,Unshifted,Medicine,Materials A,S,Female,Right,Brochure,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Brochure.M.L_S.Medicine.F.R.wav
Exposure,Critical,1,4,Unshifted,Tennessee,Materials A,S,Female,Right,Official,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Official.M.L_S.Tennessee.F.R.wav
Exposure,Critical,1,5,Unshifted,Peninsula,Materials A,S,Female,Right,Crucial,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Crucial.M.L_S.Peninsula.F.R.wav
Exposure,Critical,1,6,Unshifted,Hallucinate,Materials A,S,Female,Right,Pediatrician,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav
Exposure,Critical,1,7,Unshifted,Arkansas,Materials A,S,Female,Right,Flourishing,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Flourishing.M.L_S.Arkansas.F.R.wav
Exposure,Critical,1,8,Unshifted,Compensate,Materials A,S,Female,Right,Reassure,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Reassure.M.L_S.Compensate.F.R.wav
Exposure,Critical,1,9,Unshifted,Dinosaur,Materials A,S,Female,Right,Graduation,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Graduation.M.L_S.Dinosaur.F.R.wav
Exposure,Critical,1,10,Unshifted,Rehearsal,Materials A,S,Female,Right,Vacation,Materials A,Sh,Male,Left,Word,1,FALSE,Critical_Sh.Vacation.M.L_S.Rehearsal.F.R.wav
Exposure,Critical,1,11,Shifted,Initial,Materials B,Sh,Female,Right,Pregnancy,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Pregnancy.M.L_Ash.Initial.F.R.wav
Exposure,Critical,1,12,Shifted,Beneficial,Materials B,Sh,Female,Right,Democracy,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Democracy.M.L_Ash.Beneficial.F.R.wav
Exposure,Critical,1,13,Shifted,Negotiate,Materials B,Sh,Female,Right,Embassy,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Embassy.M.L_Ash.Negotiate.F.R.wav
Exposure,Critical,1,14,Shifted,Commercial,Materials B,Sh,Female,Right,Legacy,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Legacy.M.L_Ash.Commercial.F.R.wav
Exposure,Critical,1,15,Shifted,Parachute,Materials B,Sh,Female,Right,Reconcile,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Reconcile.M.L_Ash.Parachute.F.R.wav
Exposure,Critical,1,16,Shifted,Efficient,Materials B,Sh,Female,Right,Personal,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Personal.M.L_Ash.Efficient.F.R.wav
Exposure,Critical,1,17,Shifted,Publisher,Materials B,Sh,Female,Right,Eraser,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Eraser.M.L_Ash.Publisher.F.R.wav
Exposure,Critical,1,18,Shifted,Glacier,Materials B,Sh,Female,Right,Episode,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Episode.M.L_Ash.Glacier.F.R.wav
Exposure,Critical,1,19,Shifted,Refreshing,Materials B,Sh,Female,Right,Literacy,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Literacy.M.L_Ash.Refreshing.F.R.wav
Exposure,Critical,1,20,Shifted,Impatient,Materials B,Sh,Female,Right,Coliseum,Materials B,S,Male,Left,Word,1,FALSE,Critical_As.Coliseum.M.L_Ash.Impatient.F.R.wav
