"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","reps","feedback","filename"
"1","Exposure","Critical",1,1,"Shifted","Parasite","Materials A","S","Female","Left","Ambition","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Parasite.F.L_Ash.Ambition.M.R.wav"
"2","Exposure","Critical",1,2,"Shifted","Obscene","Materials A","S","Female","Left","Machinery","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Obscene.F.L_Ash.Machinery.M.R.wav"
"3","Exposure","Critical",1,3,"Shifted","Medicine","Materials A","S","Female","Left","Brochure","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Medicine.F.L_Ash.Brochure.M.R.wav"
"4","Exposure","Critical",1,4,"Shifted","Tennessee","Materials A","S","Female","Left","Official","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Tennessee.F.L_Ash.Official.M.R.wav"
"5","Exposure","Critical",1,5,"Shifted","Peninsula","Materials A","S","Female","Left","Crucial","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Peninsula.F.L_Ash.Crucial.M.R.wav"
"6","Exposure","Critical",1,6,"Shifted","Hallucinate","Materials A","S","Female","Left","Pediatrician","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Hallucinate.F.L_Ash.Pediatrician.M.R.wav"
"7","Exposure","Critical",1,7,"Shifted","Arkansas","Materials A","S","Female","Left","Flourishing","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Arkansas.F.L_Ash.Flourishing.M.R.wav"
"8","Exposure","Critical",1,8,"Shifted","Compensate","Materials A","S","Female","Left","Reassure","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Compensate.F.L_Ash.Reassure.M.R.wav"
"9","Exposure","Critical",1,9,"Shifted","Dinosaur","Materials A","S","Female","Left","Graduation","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Dinosaur.F.L_Ash.Graduation.M.R.wav"
"10","Exposure","Critical",1,10,"Shifted","Rehearsal","Materials A","S","Female","Left","Vacation","Materials A","Sh","Male","Right",1,FALSE,"Critical_As.Rehearsal.F.L_Ash.Vacation.M.R.wav"
"11","Exposure","Critical",1,11,"Unshifted","Initial","Materials B","Sh","Female","Left","Pregnancy","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Initial.F.L_S.Pregnancy.M.R.wav"
"12","Exposure","Critical",1,12,"Unshifted","Beneficial","Materials B","Sh","Female","Left","Democracy","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Beneficial.F.L_S.Democracy.M.R.wav"
"13","Exposure","Critical",1,13,"Unshifted","Negotiate","Materials B","Sh","Female","Left","Embassy","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Negotiate.F.L_S.Embassy.M.R.wav"
"14","Exposure","Critical",1,14,"Unshifted","Commercial","Materials B","Sh","Female","Left","Legacy","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Commercial.F.L_S.Legacy.M.R.wav"
"15","Exposure","Critical",1,15,"Unshifted","Parachute","Materials B","Sh","Female","Left","Reconcile","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Parachute.F.L_S.Reconcile.M.R.wav"
"16","Exposure","Critical",1,16,"Unshifted","Efficient","Materials B","Sh","Female","Left","Personal","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Efficient.F.L_S.Personal.M.R.wav"
"17","Exposure","Critical",1,17,"Unshifted","Publisher","Materials B","Sh","Female","Left","Eraser","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Publisher.F.L_S.Eraser.M.R.wav"
"18","Exposure","Critical",1,18,"Unshifted","Glacier","Materials B","Sh","Female","Left","Episode","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Glacier.F.L_S.Episode.M.R.wav"
"19","Exposure","Critical",1,19,"Unshifted","Refreshing","Materials B","Sh","Female","Left","Literacy","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Refreshing.F.L_S.Literacy.M.R.wav"
"20","Exposure","Critical",1,20,"Unshifted","Impatient","Materials B","Sh","Female","Left","Coliseum","Materials B","S","Male","Right",1,FALSE,"Critical_Sh.Impatient.F.L_S.Coliseum.M.R.wav"
"21","Exposure","Filler",1,1,"3","America","Set A","Word","Female","Right","Wominid","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Wominid.M.L_W.America.F.R.wav"
"22","Exposure","Filler",1,1,"4","Wojalto","Set B","Nonword","Female","Left","Bakery","Set B","Word","Male","Right",1,FALSE,"Filler_N.Wojalto.F.L_W.Bakery.M.R.wav"
"23","Exposure","Filler",1,1,"1","Youmgel","Set C","Nonword","Female","Right","Ballerina","Set C","Word","Male","Left",1,FALSE,"Filler_W.Ballerina.M.L_N.Youmgel.F.R.wav"
"24","Exposure","Filler",1,2,"3","Blueberry","Set A","Word","Female","Right","Ungelnin","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Ungelnin.M.L_W.Blueberry.F.R.wav"
"25","Exposure","Filler",1,2,"4","Tounamplem","Set B","Nonword","Female","Left","Bullying","Set B","Word","Male","Right",1,FALSE,"Filler_N.Tounamplem.F.L_W.Bullying.M.R.wav"
"26","Exposure","Filler",1,2,"1","Tymolape","Set C","Nonword","Female","Right","Burglary","Set C","Word","Male","Left",1,FALSE,"Filler_W.Burglary.M.L_N.Tymolape.F.R.wav"
"27","Exposure","Filler",1,3,"3","Camera","Set A","Word","Female","Right","Tilegkalo","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Tilegkalo.M.L_W.Camera.F.R.wav"
"28","Exposure","Filler",1,3,"4","Ryligal","Set B","Nonword","Female","Left","Continually","Set B","Word","Male","Right",1,FALSE,"Filler_N.Ryligal.F.L_W.Continually.M.R.wav"
"29","Exposure","Filler",1,3,"1","Tamical","Set C","Nonword","Female","Right","Domineering","Set C","Word","Male","Left",1,FALSE,"Filler_W.Domineering.M.L_N.Tamical.F.R.wav"
"30","Exposure","Filler",1,4,"3","Directory","Set A","Word","Female","Right","Rimkeluwar","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Rimkeluwar.M.L_W.Directory.F.R.wav"
"31","Exposure","Filler",1,4,"4","Rawamtee","Set B","Nonword","Female","Left","Document","Set B","Word","Male","Right",1,FALSE,"Filler_N.Rawamtee.F.L_W.Document.M.R.wav"
"32","Exposure","Filler",1,4,"1","Rengime","Set C","Nonword","Female","Right","Embody","Set C","Word","Male","Left",1,FALSE,"Filler_W.Embody.M.L_N.Rengime.F.R.wav"
"33","Exposure","Filler",1,5,"3","Dynamite","Set A","Word","Female","Right","Rakil","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Rakil.M.L_W.Dynamite.F.R.wav"
"34","Exposure","Filler",1,5,"4","Ploupelai","Set B","Nonword","Female","Left","Eighty","Set B","Word","Male","Right",1,FALSE,"Filler_N.Ploupelai.F.L_W.Eighty.M.R.wav"
"35","Exposure","Filler",1,5,"1","Pourilar","Set C","Nonword","Female","Right","Gullible","Set C","Word","Male","Left",1,FALSE,"Filler_W.Gullible.M.L_N.Pourilar.F.R.wav"
"36","Exposure","Filler",1,6,"3","Gardenia","Set A","Word","Female","Right","Perkum","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Perkum.M.L_W.Gardenia.F.R.wav"
"37","Exposure","Filler",1,6,"4","Omperoge","Set B","Nonword","Female","Left","Grammatical","Set B","Word","Male","Right",1,FALSE,"Filler_N.Omperoge.F.L_W.Grammatical.M.R.wav"
