"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","reps","feedback","filename"
"1","Exposure","Critical",1,1,"Shifted","Parasite","Materials A","S","Female","Right","Ambition","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Ambition.M.L_As.Parasite.F.R.wav"
"2","Exposure","Critical",1,2,"Shifted","Obscene","Materials A","S","Female","Right","Machinery","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav"
"3","Exposure","Critical",1,3,"Shifted","Medicine","Materials A","S","Female","Right","Brochure","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav"
"4","Exposure","Critical",1,4,"Shifted","Tennessee","Materials A","S","Female","Right","Official","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Official.M.L_As.Tennessee.F.R.wav"
"5","Exposure","Critical",1,5,"Shifted","Peninsula","Materials A","S","Female","Right","Crucial","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Crucial.M.L_As.Peninsula.F.R.wav"
"6","Exposure","Critical",1,6,"Shifted","Hallucinate","Materials A","S","Female","Right","Pediatrician","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav"
"7","Exposure","Critical",1,7,"Shifted","Arkansas","Materials A","S","Female","Right","Flourishing","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Flourishing.M.L_As.Arkansas.F.R.wav"
"8","Exposure","Critical",1,8,"Shifted","Compensate","Materials A","S","Female","Right","Reassure","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Reassure.M.L_As.Compensate.F.R.wav"
"9","Exposure","Critical",1,9,"Shifted","Dinosaur","Materials A","S","Female","Right","Graduation","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Graduation.M.L_As.Dinosaur.F.R.wav"
"10","Exposure","Critical",1,10,"Shifted","Rehersal","Materials A","S","Female","Right","Vacation","Materials A","Sh","Male","Left",1,FALSE,"Critical_Ash.Vacation.M.L_As.Rehersal.F.R.wav"
"11","Exposure","Critical",1,11,"Unshifted","Initial","Materials B","Sh","Female","Right","Pregnancy","Materials B","S","Male","Left",1,FALSE,"Critical_S.Pregnancy.M.L_Sh.Initial.F.R.wav"
"12","Exposure","Critical",1,12,"Unshifted","Beneficial","Materials B","Sh","Female","Right","Democracy","Materials B","S","Male","Left",1,FALSE,"Critical_S.Democracy.M.L_Sh.Beneficial.F.R.wav"
"13","Exposure","Critical",1,13,"Unshifted","Negotiate","Materials B","Sh","Female","Right","Embassy","Materials B","S","Male","Left",1,FALSE,"Critical_S.Embassy.M.L_Sh.Negotiate.F.R.wav"
"14","Exposure","Critical",1,14,"Unshifted","Commercial","Materials B","Sh","Female","Right","Legacy","Materials B","S","Male","Left",1,FALSE,"Critical_S.Legacy.M.L_Sh.Commercial.F.R.wav"
"15","Exposure","Critical",1,15,"Unshifted","Parachute","Materials B","Sh","Female","Right","Reconcile","Materials B","S","Male","Left",1,FALSE,"Critical_S.Reconcile.M.L_Sh.Parachute.F.R.wav"
"16","Exposure","Critical",1,16,"Unshifted","Efficient","Materials B","Sh","Female","Right","Personal","Materials B","S","Male","Left",1,FALSE,"Critical_S.Personal.M.L_Sh.Efficient.F.R.wav"
"17","Exposure","Critical",1,17,"Unshifted","Publisher","Materials B","Sh","Female","Right","Eraser","Materials B","S","Male","Left",1,FALSE,"Critical_S.Eraser.M.L_Sh.Publisher.F.R.wav"
"18","Exposure","Critical",1,18,"Unshifted","Glacier","Materials B","Sh","Female","Right","Episode","Materials B","S","Male","Left",1,FALSE,"Critical_S.Episode.M.L_Sh.Glacier.F.R.wav"
"19","Exposure","Critical",1,19,"Unshifted","Refreshing","Materials B","Sh","Female","Right","Literacy","Materials B","S","Male","Left",1,FALSE,"Critical_S.Literacy.M.L_Sh.Refreshing.F.R.wav"
"20","Exposure","Critical",1,20,"Unshifted","Impatient","Materials B","Sh","Female","Right","Coliseum","Materials B","S","Male","Left",1,FALSE,"Critical_S.Coliseum.M.L_Sh.Impatient.F.R.wav"
"21","Exposure","Filler",1,1,"2","America","Set A","Word","Female","Left","Wominid","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.America.F.L_N.Wominid.M.R.wav"
"22","Exposure","Filler",1,1,"1","Wojalto","Set B","Nonword","Female","Right","Bakery","Set B","Word","Male","Left",1,FALSE,"Filler_W.Bakery.M.L_N.Wojalto.F.R.wav"
"23","Exposure","Filler",1,1,"4","Youmgel","Set C","Nonword","Female","Left","Ballerina","Set C","Word","Male","Right",1,FALSE,"Filler_N.Youmgel.F.L_W.Ballerina.M.R.wav"
"24","Exposure","Filler",1,2,"2","Blueberry","Set A","Word","Female","Left","Ungelnin","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Blueberry.F.L_N.Ungelnin.M.R.wav"
"25","Exposure","Filler",1,2,"1","Tounamplem","Set B","Nonword","Female","Right","Bullying","Set B","Word","Male","Left",1,FALSE,"Filler_W.Bullying.M.L_N.Tounamplem.F.R.wav"
"26","Exposure","Filler",1,2,"4","Tymolape","Set C","Nonword","Female","Left","Burglary","Set C","Word","Male","Right",1,FALSE,"Filler_N.Tymolape.F.L_W.Burglary.M.R.wav"
"27","Exposure","Filler",1,3,"2","Camera","Set A","Word","Female","Left","Tilegkalo","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Camera.F.L_N.Tilegkalo.M.R.wav"
"28","Exposure","Filler",1,3,"1","Ryligal","Set B","Nonword","Female","Right","Continually","Set B","Word","Male","Left",1,FALSE,"Filler_W.Continually.M.L_N.Ryligal.F.R.wav"
"29","Exposure","Filler",1,3,"4","Tamical","Set C","Nonword","Female","Left","Domineering","Set C","Word","Male","Right",1,FALSE,"Filler_N.Tamical.F.L_W.Domineering.M.R.wav"
"30","Exposure","Filler",1,4,"2","Directory","Set A","Word","Female","Left","Rimkeluwar","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Directory.F.L_N.Rimkeluwar.M.R.wav"
"31","Exposure","Filler",1,4,"1","Rawamtee","Set B","Nonword","Female","Right","Document","Set B","Word","Male","Left",1,FALSE,"Filler_W.Document.M.L_N.Rawamtee.F.R.wav"
"32","Exposure","Filler",1,4,"4","Rengime","Set C","Nonword","Female","Left","Embody","Set C","Word","Male","Right",1,FALSE,"Filler_N.Rengime.F.L_W.Embody.M.R.wav"
"33","Exposure","Filler",1,5,"2","Dynamite","Set A","Word","Female","Left","Rakil","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Dynamite.F.L_N.Rakil.M.R.wav"
"34","Exposure","Filler",1,5,"1","Ploupelai","Set B","Nonword","Female","Right","Eighty","Set B","Word","Male","Left",1,FALSE,"Filler_W.Eighty.M.L_N.Ploupelai.F.R.wav"
"35","Exposure","Filler",1,5,"4","Pourilar","Set C","Nonword","Female","Left","Gullible","Set C","Word","Male","Right",1,FALSE,"Filler_N.Pourilar.F.L_W.Gullible.M.R.wav"
"36","Exposure","Filler",1,6,"2","Gardenia","Set A","Word","Female","Left","Perkum","Set A","Nonword","Male","Right",1,FALSE,"Filler_W.Gardenia.F.L_N.Perkum.M.R.wav"
"37","Exposure","Filler",1,6,"1","Omperoge","Set B","Nonword","Female","Right","Grammatical","Set B","Word","Male","Left",1,FALSE,"Filler_W.Grammatical.M.L_N.Omperoge.F.R.wav"
"38","Exposure","Filler",1,6,"4","Almikquary","Set C","Nonword","Female","Left","Honeymoon","Set C","Word","Male","Right",1,FALSE,"Filler_N.Almikquary.F.L_W.Honeymoon.M.R.wav"
