"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"1","Exposure","Critical",1,1,"Shifted","Ambition","Materials A","Sh","Male","Left","Parasite","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Ambition.M.L_As.Parasite.F.R.wav"
"2","Exposure","Critical",1,2,"Shifted","Machinery","Materials A","Sh","Male","Left","Obscene","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Machinery.M.L_As.Obscene.F.R.wav"
"3","Exposure","Critical",1,3,"Shifted","Brochure","Materials A","Sh","Male","Left","Medicine","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Brochure.M.L_As.Medicine.F.R.wav"
"4","Exposure","Critical",1,4,"Shifted","Official","Materials A","Sh","Male","Left","Tennessee","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Official.M.L_As.Tennessee.F.R.wav"
"5","Exposure","Critical",1,5,"Shifted","Crucial","Materials A","Sh","Male","Left","Peninsula","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Crucial.M.L_As.Peninsula.F.R.wav"
"6","Exposure","Critical",1,6,"Shifted","Pediatrician","Materials A","Sh","Male","Left","Hallucinate","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Pediatrician.M.L_As.Hallucinate.F.R.wav"
"7","Exposure","Critical",1,7,"Shifted","Flourishing","Materials A","Sh","Male","Left","Arkansas","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Flourishing.M.L_As.Arkansas.F.R.wav"
"8","Exposure","Critical",1,8,"Shifted","Reassure","Materials A","Sh","Male","Left","Compensate","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Reassure.M.L_As.Compensate.F.R.wav"
"9","Exposure","Critical",1,9,"Shifted","Graduation","Materials A","Sh","Male","Left","Dinosaur","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Graduation.M.L_As.Dinosaur.F.R.wav"
"10","Exposure","Critical",1,10,"Shifted","Vacation","Materials A","Sh","Male","Left","Rehearsal","Materials A","S","Female","Right","Word",1,FALSE,"Critical_Ash.Vacation.M.L_As.Rehearsal.F.R.wav"
