Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,1,03,America,Set A,Word,Female,Right,Wominid,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Wominid.M.L_W.America.F.R.wav
Exposure,Filler,1,1,04,Wojalto,Set B,Nonword,Female,Left,Bakery,Set B,Word,Male,Right,1,FALSE,Critical_N.Wojalto.F.L_W.Bakery.M.R.wav
Exposure,Filler,1,1,01,Youmgel,Set C,Nonword,Female,Right,Ballerina,Set C,Word,Male,Left,1,FALSE,Critical_W.Ballerina.M.L_N.Youmgel.F.R.wav
Exposure,Filler,1,2,03,Blueberry,Set A,Word,Female,Right,Ungelnin,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Ungelnin.M.L_W.Blueberry.F.R.wav
Exposure,Filler,1,2,04,Tounamplem,Set B,Nonword,Female,Left,Bullying,Set B,Word,Male,Right,1,FALSE,Critical_N.Tounamplem.F.L_W.Bullying.M.R.wav
Exposure,Filler,1,2,01,Tymolape,Set C,Nonword,Female,Right,Burglary,Set C,Word,Male,Left,1,FALSE,Critical_W.Burglary.M.L_N.Tymolape.F.R.wav
Exposure,Filler,1,3,03,Camera,Set A,Word,Female,Right,Tilegkalo,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Tilegkalo.M.L_W.Camera.F.R.wav
Exposure,Filler,1,3,04,Ryligal,Set B,Nonword,Female,Left,Continually,Set B,Word,Male,Right,1,FALSE,Critical_N.Ryligal.F.L_W.Continually.M.R.wav
Exposure,Filler,1,3,01,Tamical,Set C,Nonword,Female,Right,Domineering,Set C,Word,Male,Left,1,FALSE,Critical_W.Domineering.M.L_N.Tamical.F.R.wav
Exposure,Filler,1,4,03,Directory,Set A,Word,Female,Right,Rimkeluwar,Set A,Nonword,Male,Left,1,FALSE,Critical_N.Rimkeluwar.M.L_W.Directory.F.R.wav
Exposure,Filler,1,4,04,Rawamtee,Set B,Nonword,Female,Left,Document,Set B,Word,Male,Right,1,FALSE,Critical_N.Rawamtee.F.L_W.Document.M.R.wav
Exposure,Filler,1,4,01,Rengime,Set C,Nonword,Female,Right,Embody,Set C,Word,Male,Left,1,FALSE,Critical_W.Embody.M.L_N.Rengime.F.R.wav
