Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Filler,1,1,01,America,Set A,word,Male,Left,Wominid,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.America.M.L_N.Wominid.F.R.wav
Exposure,Filler,1,1,02,Wojalto,Set B,non-word,Male,Right,Bakery,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Bakery.F.L_N.Wojalto.M.R.wav
Exposure,Filler,1,1,03,Youmgel,Set C,non-word,Male,Left,Ballerina,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Youmgel.M.L_W.Ballerina.F.R.wav
Exposure,Filler,1,2,01,Blueberry,Set A,word,Male,Left,Ungelnin,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Blueberry.M.L_N.Ungelnin.F.R.wav
Exposure,Filler,1,2,02,Tounamplem,Set B,non-word,Male,Right,Bullying,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Bullying.F.L_N.Tounamplem.M.R.wav
Exposure,Filler,1,2,03,Tymolape,Set C,non-word,Male,Left,Burglary,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Tymolape.M.L_W.Burglary.F.R.wav
Exposure,Filler,1,3,01,Camera,Set A,word,Male,Left,Tilegkalo,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Camera.M.L_N.Tilegkalo.F.R.wav
Exposure,Filler,1,3,02,Ryligal,Set B,non-word,Male,Right,Continually,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Continually.F.L_N.Ryligal.M.R.wav
Exposure,Filler,1,3,03,Tamical,Set C,non-word,Male,Left,Domineering,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Tamical.M.L_W.Domineering.F.R.wav
Exposure,Filler,1,4,01,Directory,Set A,word,Male,Left,Rimkeluwar,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Directory.M.L_N.Rimkeluwar.F.R.wav
Exposure,Filler,1,4,02,Rawamtee,Set B,non-word,Male,Right,Document,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Document.F.L_N.Rawamtee.M.R.wav
Exposure,Filler,1,4,03,Rengime,Set C,non-word,Male,Left,Embody,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Rengime.M.L_W.Embody.F.R.wav
Exposure,Filler,1,5,01,Dynamite,Set A,word,Male,Left,Rakil,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Dynamite.M.L_N.Rakil.F.R.wav
Exposure,Filler,1,5,02,Ploupelai,Set B,non-word,Male,Right,Eighty,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Eighty.F.L_N.Ploupelai.M.R.wav
Exposure,Filler,1,5,03,Pourilar,Set C,non-word,Male,Left,Gullible,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Pourilar.M.L_W.Gullible.F.R.wav
Exposure,Filler,1,6,01,Gardenia,Set A,word,Male,Left,Perkum,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Gardenia.M.L_N.Perkum.F.R.wav
Exposure,Filler,1,6,02,Omperoge,Set B,non-word,Male,Right,Grammatical,Set B,word,Female,Left,non-word,1,FALSE,Filler_W.Grammatical.F.L_N.Omperoge.M.R.wav
Exposure,Filler,1,6,03,Almikquary,Set C,non-word,Male,Left,Honeymoon,Set C,word,Female,Right,non-word,1,FALSE,Filler_N.Almikquary.M.L_W.Honeymoon.F.R.wav
Exposure,Filler,1,7,01,Hamburger,Set A,word,Male,Left,Nomerae,Set A,non-word,Female,Right,word,1,FALSE,Filler_W.Hamburger.M.L_N.Nomerae.F.R.wav
