Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Filler,1,1,04,America,Set A,word,Male,Right,Wominid,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Wominid.F.L_W.America.M.R.wav
Exposure,Filler,1,1,03,Wojalto,Set B,non-word,Male,Left,Bakery,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Wojalto.M.L_W.Bakery.F.R.wav
Exposure,Filler,1,1,02,Youmgel,Set C,non-word,Male,Right,Ballerina,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Ballerina.F.L_N.Youmgel.M.R.wav
Exposure,Filler,1,2,04,Blueberry,Set A,word,Male,Right,Ungelnin,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Ungelnin.F.L_W.Blueberry.M.R.wav
Exposure,Filler,1,2,03,Tounamplem,Set B,non-word,Male,Left,Bullying,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Tounamplem.M.L_W.Bullying.F.R.wav
Exposure,Filler,1,2,02,Tymolape,Set C,non-word,Male,Right,Burglary,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Burglary.F.L_N.Tymolape.M.R.wav
Exposure,Filler,1,3,04,Camera,Set A,word,Male,Right,Tilegkalo,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Tilegkalo.F.L_W.Camera.M.R.wav
Exposure,Filler,1,3,03,Ryligal,Set B,non-word,Male,Left,Continually,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Ryligal.M.L_W.Continually.F.R.wav
Exposure,Filler,1,3,02,Tamical,Set C,non-word,Male,Right,Domineering,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Domineering.F.L_N.Tamical.M.R.wav
Exposure,Filler,1,4,04,Directory,Set A,word,Male,Right,Rimkeluwar,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Rimkeluwar.F.L_W.Directory.M.R.wav
Exposure,Filler,1,4,03,Rawamtee,Set B,non-word,Male,Left,Document,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Rawamtee.M.L_W.Document.F.R.wav
Exposure,Filler,1,4,02,Rengime,Set C,non-word,Male,Right,Embody,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Embody.F.L_N.Rengime.M.R.wav
Exposure,Filler,1,5,04,Dynamite,Set A,word,Male,Right,Rakil,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Rakil.F.L_W.Dynamite.M.R.wav
Exposure,Filler,1,5,03,Ploupelai,Set B,non-word,Male,Left,Eighty,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Ploupelai.M.L_W.Eighty.F.R.wav
Exposure,Filler,1,5,02,Pourilar,Set C,non-word,Male,Right,Gullible,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Gullible.F.L_N.Pourilar.M.R.wav
Exposure,Filler,1,6,04,Gardenia,Set A,word,Male,Right,Perkum,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Perkum.F.L_W.Gardenia.M.R.wav
Exposure,Filler,1,6,03,Omperoge,Set B,non-word,Male,Left,Grammatical,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Omperoge.M.L_W.Grammatical.F.R.wav
Exposure,Filler,1,6,02,Almikquary,Set C,non-word,Male,Right,Honeymoon,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Honeymoon.F.L_N.Almikquary.M.R.wav
Exposure,Filler,1,7,04,Hamburger,Set A,word,Male,Right,Nomerae,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Nomerae.F.L_W.Hamburger.M.R.wav
Exposure,Filler,1,7,03,Nempring,Set B,non-word,Male,Left,Identical,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Nempring.M.L_W.Identical.F.R.wav
Exposure,Filler,1,7,02,Niritaly,Set C,non-word,Male,Right,Illuminate,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Illuminate.F.L_N.Niritaly.M.R.wav
Exposure,Filler,1,8,04,Hurdle,Set A,word,Male,Right,Namuary,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Namuary.F.L_W.Hurdle.M.R.wav
Exposure,Filler,1,8,03,Mibgem,Set B,non-word,Male,Left,Interior,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Mibgem.M.L_W.Interior.F.R.wav
Exposure,Filler,1,8,02,Makid,Set C,non-word,Male,Right,Ironic,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Ironic.F.L_N.Makid.M.R.wav
Exposure,Filler,1,9,04,Inhabit,Set A,word,Male,Right,Logelai,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Logelai.F.L_W.Inhabit.M.R.wav
Exposure,Filler,1,9,03,Meidnow,Set B,non-word,Male,Left,Knowingly,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Meidnow.M.L_W.Knowingly.F.R.wav
Exposure,Filler,1,9,02,Kaldemia,Set C,non-word,Male,Right,Laminate,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Laminate.F.L_N.Kaldemia.M.R.wav
Exposure,Filler,1,10,04,Keyboard,Set A,word,Male,Right,Lenediaw,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav
Exposure,Filler,1,10,03,Kermimer,Set B,non-word,Male,Left,Lethal,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Kermimer.M.L_W.Lethal.F.R.wav
Exposure,Filler,1,10,02,Imdalier,Set C,non-word,Male,Right,Liability,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Liability.F.L_N.Imdalier.M.R.wav
Exposure,Filler,1,11,04,Lengthen,Set A,word,Male,Right,Kelabidel,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Kelabidel.F.L_W.Lengthen.M.R.wav
Exposure,Filler,1,11,03,Itempider,Set B,non-word,Male,Left,Lobbying,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Itempider.M.L_W.Lobbying.F.R.wav
Exposure,Filler,1,11,02,Kloumidiger,Set C,non-word,Male,Right,Marina,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Marina.F.L_N.Kloumidiger.M.R.wav
Exposure,Filler,1,12,04,Lingering,Set A,word,Male,Right,Inpaki,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Inpaki.F.L_W.Lingering.M.R.wav
Exposure,Filler,1,12,03,Aknid,Set B,non-word,Male,Left,Membrane,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Aknid.M.L_W.Membrane.F.R.wav
Exposure,Filler,1,12,02,Halomimoc,Set C,non-word,Male,Right,Metrical,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav
Exposure,Filler,1,13,04,Melancholy,Set A,word,Male,Right,Hintarber,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav
Exposure,Filler,1,13,03,Ibirak,Set B,non-word,Male,Left,Negate,Set B,word,Female,Right,non-word,1,FALSE,Filler_N.Ibirak.M.L_W.Negate.F.R.wav
Exposure,Filler,1,13,02,Gerbualo,Set C,non-word,Male,Right,Nightmare,Set C,word,Female,Left,non-word,1,FALSE,Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav
Exposure,Filler,1,14,04,Napkin,Set A,word,Male,Right,Gardimuallay,Set A,non-word,Female,Left,word,1,FALSE,Filler_N.Gardimuallay.F.L_W.Napkin.M.R.wav
