"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"1","Exposure","Critical",1,1,"Shifted","Parasite","Materials A","S","Male","Right","Ambition","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Ambition.F.L_As.Parasite.M.R.wav"
"2","Exposure","Critical",1,2,"Shifted","Obscene","Materials A","S","Male","Right","Machinery","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Machinery.F.L_As.Obscene.M.R.wav"
"3","Exposure","Critical",1,3,"Shifted","Medicine","Materials A","S","Male","Right","Brochure","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Brochure.F.L_As.Medicine.M.R.wav"
"4","Exposure","Critical",1,4,"Shifted","Tennessee","Materials A","S","Male","Right","Official","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Official.F.L_As.Tennessee.M.R.wav"
"5","Exposure","Critical",1,5,"Shifted","Peninsula","Materials A","S","Male","Right","Crucial","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Crucial.F.L_As.Peninsula.M.R.wav"
"6","Exposure","Critical",1,6,"Shifted","Hallucinate","Materials A","S","Male","Right","Pediatrician","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav"
"7","Exposure","Critical",1,7,"Shifted","Arkansas","Materials A","S","Male","Right","Flourishing","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Flourishing.F.L_As.Arkansas.M.R.wav"
"8","Exposure","Critical",1,8,"Shifted","Compensate","Materials A","S","Male","Right","Reassure","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Reassure.F.L_As.Compensate.M.R.wav"
"9","Exposure","Critical",1,9,"Shifted","Dinosaur","Materials A","S","Male","Right","Graduation","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Graduation.F.L_As.Dinosaur.M.R.wav"
"10","Exposure","Critical",1,10,"Shifted","Rehearsal","Materials A","S","Male","Right","Vacation","Materials A","Sh","Female","Left","Word",1,FALSE,"Critical_Ash.Vacation.F.L_As.Rehearsal.M.R.wav"
"11","Exposure","Critical",1,11,"Unshifted","Initial","Materials B","Sh","Male","Right","Pregnancy","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Pregnancy.F.L_Sh.Initial.M.R.wav"
"12","Exposure","Critical",1,12,"Unshifted","Beneficial","Materials B","Sh","Male","Right","Democracy","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Democracy.F.L_Sh.Beneficial.M.R.wav"
"13","Exposure","Critical",1,13,"Unshifted","Negotiate","Materials B","Sh","Male","Right","Embassy","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Embassy.F.L_Sh.Negotiate.M.R.wav"
"14","Exposure","Critical",1,14,"Unshifted","Commercial","Materials B","Sh","Male","Right","Legacy","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Legacy.F.L_Sh.Commercial.M.R.wav"
"15","Exposure","Critical",1,15,"Unshifted","Parachute","Materials B","Sh","Male","Right","Reconcile","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Reconcile.F.L_Sh.Parachute.M.R.wav"
"16","Exposure","Critical",1,16,"Unshifted","Efficient","Materials B","Sh","Male","Right","Personal","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Personal.F.L_Sh.Efficient.M.R.wav"
"17","Exposure","Critical",1,17,"Unshifted","Publisher","Materials B","Sh","Male","Right","Eraser","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Eraser.F.L_Sh.Publisher.M.R.wav"
"18","Exposure","Critical",1,18,"Unshifted","Glacier","Materials B","Sh","Male","Right","Episode","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Episode.F.L_Sh.Glacier.M.R.wav"
"19","Exposure","Critical",1,19,"Unshifted","Refreshing","Materials B","Sh","Male","Right","Literacy","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Literacy.F.L_Sh.Refreshing.M.R.wav"
"20","Exposure","Critical",1,20,"Unshifted","Impatient","Materials B","Sh","Male","Right","Coliseum","Materials B","S","Female","Left","Word",1,FALSE,"Critical_S.Coliseum.F.L_Sh.Impatient.M.R.wav"
"21","Exposure","Filler",1,1,"1","America","Set A","Word","Male","Left","Wominid","Set A","Nonword","Female","Right","Word",1,FALSE,"Filler_W.America.M.L_N.Wominid.F.R.wav"
"22","Exposure","Filler",1,1,"2","Wojalto","Set B","Nonword","Male","Right","Bakery","Set B","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Bakery.F.L_N.Wojalto.M.R.wav"
"23","Exposure","Filler",1,1,"3","Youmgel","Set C","Nonword","Male","Left","Ballerina","Set C","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Youmgel.M.L_W.Ballerina.F.R.wav"
"24","Exposure","Filler",1,2,"1","Blueberry","Set A","Word","Male","Left","Ungelnin","Set A","Nonword","Female","Right","Word",1,FALSE,"Filler_W.Blueberry.M.L_N.Ungelnin.F.R.wav"
"25","Exposure","Filler",1,2,"2","Tounamplem","Set B","Nonword","Male","Right","Bullying","Set B","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Bullying.F.L_N.Tounamplem.M.R.wav"
"26","Exposure","Filler",1,2,"3","Tymolape","Set C","Nonword","Male","Left","Burglary","Set C","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Tymolape.M.L_W.Burglary.F.R.wav"
