Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Unshifted,Ambition,Materials A,Sh,Male,Left,Parasite,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Ambition.M.L_S.Parasite.F.R.wav
Exposure,Critical,1,2,Unshifted,Machinery,Materials A,Sh,Male,Left,Obscene,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Machinery.M.L_S.Obscene.F.R.wav
Exposure,Critical,1,3,Unshifted,Brochure,Materials A,Sh,Male,Left,Medicine,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Brochure.M.L_S.Medicine.F.R.wav
Exposure,Critical,1,4,Unshifted,Official,Materials A,Sh,Male,Left,Tennessee,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Official.M.L_S.Tennessee.F.R.wav
Exposure,Critical,1,5,Unshifted,Crucial,Materials A,Sh,Male,Left,Peninsula,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Crucial.M.L_S.Peninsula.F.R.wav
Exposure,Critical,1,6,Unshifted,Pediatrician,Materials A,Sh,Male,Left,Hallucinate,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Pediatrician.M.L_S.Hallucinate.F.R.wav
Exposure,Critical,1,7,Unshifted,Flourishing,Materials A,Sh,Male,Left,Arkansas,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Flourishing.M.L_S.Arkansas.F.R.wav
Exposure,Critical,1,8,Unshifted,Reassure,Materials A,Sh,Male,Left,Compensate,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Reassure.M.L_S.Compensate.F.R.wav
Exposure,Critical,1,9,Unshifted,Graduation,Materials A,Sh,Male,Left,Dinosaur,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Graduation.M.L_S.Dinosaur.F.R.wav
Exposure,Critical,1,10,Unshifted,Vacation,Materials A,Sh,Male,Left,Rehearsal,Materials A,S,Female,Right,word,1,FALSE,Critical_Sh.Vacation.M.L_S.Rehearsal.F.R.wav
Exposure,Critical,1,11,Shifted,Pregnancy,Materials B,S,Male,Left,Initial,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Pregnancy.M.L_Ash.Initial.F.R.wav
Exposure,Critical,1,12,Shifted,Democracy,Materials B,S,Male,Left,Beneficial,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Democracy.M.L_Ash.Beneficial.F.R.wav
Exposure,Critical,1,13,Shifted,Embassy,Materials B,S,Male,Left,Negotiate,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Embassy.M.L_Ash.Negotiate.F.R.wav
Exposure,Critical,1,14,Shifted,Legacy,Materials B,S,Male,Left,Commercial,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Legacy.M.L_Ash.Commercial.F.R.wav
Exposure,Critical,1,15,Shifted,Reconcile,Materials B,S,Male,Left,Parachute,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Reconcile.M.L_Ash.Parachute.F.R.wav
Exposure,Critical,1,16,Shifted,Personal,Materials B,S,Male,Left,Efficient,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Personal.M.L_Ash.Efficient.F.R.wav
Exposure,Critical,1,17,Shifted,Eraser,Materials B,S,Male,Left,Publisher,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Eraser.M.L_Ash.Publisher.F.R.wav
Exposure,Critical,1,18,Shifted,Episode,Materials B,S,Male,Left,Glacier,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Episode.M.L_Ash.Glacier.F.R.wav
Exposure,Critical,1,19,Shifted,Literacy,Materials B,S,Male,Left,Refreshing,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Literacy.M.L_Ash.Refreshing.F.R.wav
Exposure,Critical,1,20,Shifted,Coliseum,Materials B,S,Male,Left,Impatient,Materials B,Sh,Female,Right,word,1,FALSE,Critical_As.Coliseum.M.L_Ash.Impatient.F.R.wav
