Condition.Name,Attended Talker Gender,Attended Talker Ear,Attended Talker Material,Attended Talker Label,Exposure Order,Test Order,resp Key Exp,respKeyTest,participants,
Condition.1_F_L_A_S_01_A_0_0,F,L,A,S,1,A,0,0,0,
Condition.2_F_L_A_S_01_A_0_1,F,L,A,S,1,A,0,1,1,
Condition.3_F_L_A_S_01_A_1_0,F,L,A,S,1,A,1,0,1,
Condition.4_F_L_A_S_01_A_1_1,F,L,A,S,1,A,1,1,0,
Condition.5_F_L_A_S_01_B_0_0,F,L,A,S,1,B,0,0,2,
Condition.6_F_L_A_S_01_B_0_1,F,L,A,S,1,B,0,1,1,
Condition.7_F_L_A_S_01_B_1_0,F,L,A,S,1,B,1,0,1,
Condition.8_F_L_A_S_01_B_1_1,F,L,A,S,1,B,1,1,1,
Condition.9_F_L_A_S_05_A_0_0,F,L,A,S,5,A,0,0,1,
Condition.10_F_L_A_S_05_A_0_1,F,L,A,S,5,A,0,1,1,
Condition.11_F_L_A_S_05_A_1_0,F,L,A,S,5,A,1,0,1,
Condition.12_F_L_A_S_05_A_1_1,F,L,A,S,5,A,1,1,2,P. 533
Condition.13_F_L_A_S_05_B_0_0,F,L,A,S,5,B,0,0,1,
Condition.14_F_L_A_S_05_B_0_1,F,L,A,S,5,B,0,1,1,
Condition.15_F_L_A_S_05_B_1_0,F,L,A,S,5,B,1,0,1,
Condition.16_F_L_A_S_05_B_1_1,F,L,A,S,5,B,1,1,1,
Condition.17_F_L_A_Sh_01_A_0_0,F,L,A,Sh,1,A,0,0,0,
Condition.18_F_L_A_Sh_01_A_0_1,F,L,A,Sh,1,A,0,1,1,
Condition.19_F_L_A_Sh_01_A_1_0,F,L,A,Sh,1,A,1,0,1,
Condition.20_F_L_A_Sh_01_A_1_1,F,L,A,Sh,1,A,1,1,1,
Condition.21_F_L_A_Sh_01_B_0_0,F,L,A,Sh,1,B,0,0,1,
Condition.22_F_L_A_Sh_01_B_0_1,F,L,A,Sh,1,B,0,1,1,
Condition.23_F_L_A_Sh_01_B_1_0,F,L,A,Sh,1,B,1,0,3,
Condition.24_F_L_A_Sh_01_B_1_1,F,L,A,Sh,1,B,1,1,3,
Condition.25_F_L_A_Sh_05_A_0_0,F,L,A,Sh,5,A,0,0,0,
Condition.26_F_L_A_Sh_05_A_0_1,F,L,A,Sh,5,A,0,1,1,
Condition.27_F_L_A_Sh_05_A_1_0,F,L,A,Sh,5,A,1,0,0,
