workerid,proliferate.condition,randomID,error
495,Condition.54_M_L_A_Sh_01_B_0_1,UZ67u1AlQzjQutZC,
451,Condition.47_M_L_A_S_05_B_1_0,NHlGTDOTZguxyync,
445,Condition.61_M_L_A_Sh_05_B_0_0,gWk08T4SCiX5l9WO,
455,Condition.49_M_L_A_Sh_01_A_0_0,C9ExbguBIEZZUJDg,
493,Condition.57_M_L_A_Sh_05_A_0_0,r2NWIXoqGwcbUi1e,
535,Condition.34_M_L_A_S_01_A_0_1,gL9obOvCGq53eg9W,
546,Condition.15_F_L_A_S_05_B_1_0,nSgMGYxWIJjHfKzm,
544,Condition.58_M_L_A_Sh_05_A_0_1,jO3RLvcnV5rHMKvd,
501,Condition.8_F_L_A_S_01_B_1_1,p0Yjxbjgtmy79vZ8,
531,Condition.41_M_L_A_S_05_A_0_0,UG4HZGwyswE5q6v0,
490,Condition.21_F_L_A_Sh_01_B_0_0,19kytqqAJV360uJa,
461,Condition.31_F_L_A_Sh_05_B_1_0,JOfjKlNwS4qt10zn,
539,Condition.7_F_L_A_S_01_B_1_0,asF6Si1Mx4bH2tdJ,
533,Condition.12_F_L_A_S_05_A_1_1,aPgbnHj0R0tvADDP,
509,Condition.12_F_L_A_S_05_A_1_1,StC4vxbY0ANyYImb,
446,Condition.20_F_L_A_Sh_01_A_1_1,UMtA0M3RCgobmUxT,
483,Condition.40_M_L_A_S_01_B_1_1,64tfEjygBYFEAauw,
534,Condition.30_F_L_A_Sh_05_B_0_1,i8ec7DvpVncNQwfw,
481,Condition.42_M_L_A_S_05_A_0_1,tDCl58wQqQsi46Ca,
523,Condition.23_F_L_A_Sh_01_B_1_0,M1rv2u3tznwQMhQe,
517,Condition.23_F_L_A_Sh_01_B_1_0,e0fd3c6H2gwdr97e,
469,Condition.62_M_L_A_Sh_05_B_0_1,yyW5k7q0gudH9Nw9,
452,Condition.52_M_L_A_Sh_01_A_1_1,Yo7s33prs2psMSqY,
511,Condition.33_M_L_A_S_01_A_0_0,Qk19Xxlqs4I5jNij,
470,Condition.37_M_L_A_S_01_B_0_0,uZD52OB5ZtVSCnzq,
465,Condition.39_M_L_A_S_01_B_1_0,AsxQ1OpDaP7Gxyy1,
456,Condition.13_F_L_A_S_05_B_0_0,Vz3FYw2vfJj8m4i6,
454,Condition.29_F_L_A_Sh_05_B_0_0,k1z5tkQGn8jNQfBy,
472,Condition.53_M_L_A_Sh_01_B_0_0,motiOma0uDJFgB9D,
537,Condition.55_M_L_A_Sh_01_B_1_0,sXrt1VWwmBPc1ZfV,
467,Condition.56_M_L_A_Sh_01_B_1_1,ON4hln05fPOyilJQ,
548,Condition.22_F_L_A_Sh_01_B_0_1,uhsP2KeCT4YkDBBR,
460,Condition.19_F_L_A_Sh_01_A_1_0,RtyWf1puDNM7qEcB,
447,Condition.16_F_L_A_S_05_B_1_1,UJjTzkWx9kTkWvG1,
443,Condition.11_F_L_A_S_05_A_1_0,Hd00Gr0ZOufQiDpu,
453,Condition.10_F_L_A_S_05_A_0_1,pKgFQpj56HCEK2qO,
494,Condition.18_F_L_A_Sh_01_A_0_1,uNEni3UWlNIFhYV3,
550,Condition.36_M_L_A_S_01_A_1_1,r5NUCiAsIceljg7r,
549,Condition.59_M_L_A_Sh_05_A_1_0,s9RBipPHwsU59M13,
543,Condition.6_F_L_A_S_01_B_0_1,cL4o1sl6sGwADkhA,
448,Condition.3_F_L_A_S_01_A_1_0,CFYxxnVEB3JsUgP3,
524,Condition.24_F_L_A_Sh_01_B_1_1,GtUo44y3uAbAFoMI,
521,Condition.24_F_L_A_Sh_01_B_1_1,9YLOAnUxvJp8a7Me,
482,Condition.46_M_L_A_S_05_B_0_1,ZmIQt8mreUqgKJVQ,
540,Condition.35_M_L_A_S_01_A_1_0,lXWi0c3sxfGxKH4d,
508,Condition.5_F_L_A_S_01_B_0_0,lCRS17bwNUOWwxsx,
458,Condition.26_F_L_A_Sh_05_A_0_1,DMB2P81H46j8k3ol,
449,Condition.60_M_L_A_Sh_05_A_1_1,2SPuyM8cVAK8FhI9,
444,Condition.2_F_L_A_S_01_A_0_1,wCRAwGCBPlgMJBH6,
485,Condition.9_F_L_A_S_05_A_0_0,bXb0rUHrar6tTDOY,
504,Condition.50_M_L_A_Sh_01_A_0_1,Qe54pDlrp0cGcyeg,
541,Condition.45_M_L_A_S_05_B_0_0,cJUutOmjgkGeWFf7,
463,Condition.51_M_L_A_Sh_01_A_1_0,5KBK2qSXwv7wXa2M,
