workerid,proliferate.condition,userDateTimeAtInitialization,error
495,Condition.54_M_L_A_Sh_01_B_0_1,2023-03-07T17:34:12.487Z,
451,Condition.47_M_L_A_S_05_B_1_0,2023-03-07T02:14:36.021Z,
445,Condition.61_M_L_A_Sh_05_B_0_0,2023-03-07T01:54:36.962Z,
455,Condition.49_M_L_A_Sh_01_A_0_0,2023-03-07T16:57:20.639Z,
493,Condition.57_M_L_A_Sh_05_A_0_0,2023-03-07T17:33:22.947Z,
535,Condition.34_M_L_A_S_01_A_0_1,2023-03-07T17:46:25.060Z,
546,Condition.15_F_L_A_S_05_B_1_0,2023-03-07T17:52:07.201Z,
544,Condition.58_M_L_A_Sh_05_A_0_1,2023-03-07T17:49:58.357Z,
501,Condition.8_F_L_A_S_01_B_1_1,2023-03-07T17:35:52.822Z,
531,Condition.41_M_L_A_S_05_A_0_0,2023-03-07T17:44:38.224Z,
490,Condition.21_F_L_A_Sh_01_B_0_0,2023-03-07T17:32:08.995Z,
461,Condition.31_F_L_A_Sh_05_B_1_0,2023-03-07T17:07:19.353Z,
539,Condition.7_F_L_A_S_01_B_1_0,2023-03-07T17:48:29.494Z,
533,Condition.12_F_L_A_S_05_A_1_1,2023-03-07T17:45:10.430Z,
509,Condition.12_F_L_A_S_05_A_1_1,2023-03-07T17:37:07.429Z,
446,Condition.20_F_L_A_Sh_01_A_1_1,2023-03-07T01:59:24.556Z,
483,Condition.40_M_L_A_S_01_B_1_1,2023-03-07T17:27:08.864Z,
534,Condition.30_F_L_A_Sh_05_B_0_1,2023-03-07T17:45:52.071Z,
481,Condition.42_M_L_A_S_05_A_0_1,2023-03-07T17:25:42.353Z,
523,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-07T17:41:02.093Z,
517,Condition.23_F_L_A_Sh_01_B_1_0,2023-03-07T17:39:46.715Z,
469,Condition.62_M_L_A_Sh_05_B_0_1,2023-03-07T17:14:10.277Z,
452,Condition.52_M_L_A_Sh_01_A_1_1,2023-03-07T03:25:11.967Z,
511,Condition.33_M_L_A_S_01_A_0_0,2023-03-07T17:37:32.640Z,
470,Condition.37_M_L_A_S_01_B_0_0,2023-03-07T17:15:47.937Z,
465,Condition.39_M_L_A_S_01_B_1_0,2023-03-07T17:10:17.631Z,
456,Condition.13_F_L_A_S_05_B_0_0,2023-03-07T16:56:52.970Z,
454,Condition.29_F_L_A_Sh_05_B_0_0,2023-03-07T16:52:18.493Z,
472,Condition.53_M_L_A_Sh_01_B_0_0,2023-03-07T17:19:17.143Z,
537,Condition.55_M_L_A_Sh_01_B_1_0,2023-03-07T17:46:48.407Z,
467,Condition.56_M_L_A_Sh_01_B_1_1,2023-03-07T17:11:15.071Z,
548,Condition.22_F_L_A_Sh_01_B_0_1,2023-03-07T17:56:03.087Z,
460,Condition.19_F_L_A_Sh_01_A_1_0,2023-03-07T17:06:28.842Z,
447,Condition.16_F_L_A_S_05_B_1_1,2023-03-07T02:04:20.864Z,
443,Condition.11_F_L_A_S_05_A_1_0,2023-03-06T22:39:34.877Z,
453,Condition.10_F_L_A_S_05_A_0_1,2023-03-07T16:48:38.491Z,
494,Condition.18_F_L_A_Sh_01_A_0_1,2023-03-07T17:33:57.891Z,
550,Condition.36_M_L_A_S_01_A_1_1,2023-03-07T19:26:48.661Z,
549,Condition.59_M_L_A_Sh_05_A_1_0,2023-03-07T18:21:09.823Z,
543,Condition.6_F_L_A_S_01_B_0_1,2023-03-07T17:49:33.173Z,
448,Condition.3_F_L_A_S_01_A_1_0,2023-03-07T02:06:01.538Z,
524,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-07T17:43:09.411Z,
521,Condition.24_F_L_A_Sh_01_B_1_1,2023-03-07T17:41:18.279Z,
482,Condition.46_M_L_A_S_05_B_0_1,2023-03-07T17:26:32.760Z,
540,Condition.35_M_L_A_S_01_A_1_0,2023-03-07T17:48:40.654Z,
508,Condition.5_F_L_A_S_01_B_0_0,2023-03-07T17:36:37.056Z,
458,Condition.26_F_L_A_Sh_05_A_0_1,2023-03-07T17:03:37.059Z,
449,Condition.60_M_L_A_Sh_05_A_1_1,2023-03-07T02:07:53.471Z,
444,Condition.2_F_L_A_S_01_A_0_1,2023-03-07T01:47:39.381Z,
485,Condition.9_F_L_A_S_05_A_0_0,2023-03-07T17:27:49.834Z,
504,Condition.50_M_L_A_Sh_01_A_0_1,2023-03-07T17:36:08.542Z,
541,Condition.45_M_L_A_S_05_B_0_0,2023-03-07T17:49:11.777Z,
463,Condition.51_M_L_A_Sh_01_A_1_0,2023-03-07T17:08:44.958Z,
