workerid,proliferate.condition,randomID,error
408,Condition.23_F_L_A_Sh_01_B_1_0,WsKDHhCw7D88LvE4,
420,Condition.12_F_L_A_S_05_A_1_1,awJmDPbbfEzRrOPL,
405,Condition.41_M_L_A_S_05_A_0_0,SI6YjHNXUomLNCbT,
430,Condition.43_M_L_A_S_05_A_1_0,Ou4WM3QR6K8rDmFT,
419,Condition.24_F_L_A_Sh_01_B_1_1,YCv4B48019LiIW6M,
421,Condition.44_M_L_A_S_05_A_1_1,6OZDyNwzmGO9LIPU,
431,Condition.32_F_L_A_Sh_05_B_1_1,Xi4h6JMH0bJJvJVc,
423,Condition.30_F_L_A_Sh_05_B_0_1,kN4UrPHfZLnYF36e,
415,Condition.5_F_L_A_S_01_B_0_0,ZkvY7D5E0iaB76th,
414,Condition.48_M_L_A_S_05_B_1_1,Mt1nb0OAR6Ora7on,
