,workerid,proliferate.condition,rsrb.sex,error,,,
1,443,Condition.11_F_L_A_S_05_A_1_0,Female,NA,,,
2,444,Condition.2_F_L_A_S_01_A_0_1,Female,NA,,,
3,445,Condition.61_M_L_A_Sh_05_B_0_0,Female,NA,,,
4,446,Condition.20_F_L_A_Sh_01_A_1_1,Male,NA,,,
5,447,Condition.16_F_L_A_S_05_B_1_1,Male,NA,,,
6,448,Condition.3_F_L_A_S_01_A_1_0,Male,NA,,,
7,449,Condition.60_M_L_A_Sh_05_A_1_1,Female,NA,,,
8,451,Condition.47_M_L_A_S_05_B_1_0,Male,NA,,,
9,452,Condition.52_M_L_A_Sh_01_A_1_1,Female,NA,,,
10,453,Condition.10_F_L_A_S_05_A_0_1,Male,NA,,,
11,454,Condition.29_F_L_A_Sh_05_B_0_0,Female,NA,,,
12,455,Condition.49_M_L_A_Sh_01_A_0_0,Male,NA,,,
13,456,Condition.13_F_L_A_S_05_B_0_0,Female,NA,,,
14,458,Condition.26_F_L_A_Sh_05_A_0_1,Female,NA,,,
15,460,Condition.19_F_L_A_Sh_01_A_1_0,Male,NA,,,
16,461,Condition.31_F_L_A_Sh_05_B_1_0,Female,NA,,,
17,463,Condition.51_M_L_A_Sh_01_A_1_0,Female,NA,,,
18,465,Condition.39_M_L_A_S_01_B_1_0,Male,NA,,,
19,467,Condition.56_M_L_A_Sh_01_B_1_1,Female,NA,,,
20,469,Condition.62_M_L_A_Sh_05_B_0_1,Female,NA,,,
21,470,Condition.37_M_L_A_S_01_B_0_0,Female,NA,,,
22,472,Condition.53_M_L_A_Sh_01_B_0_0,Female,NA,,,
23,481,Condition.42_M_L_A_S_05_A_0_1,Male,NA,,,
24,482,Condition.46_M_L_A_S_05_B_0_1,Female,NA,,,
25,483,Condition.40_M_L_A_S_01_B_1_1,Female,NA,,,
26,485,Condition.9_F_L_A_S_05_A_0_0,Male,NA,,,
27,490,Condition.21_F_L_A_Sh_01_B_0_0,Female,NA,,,
28,493,Condition.57_M_L_A_Sh_05_A_0_0,NO RESPONSE PROVIDED,NA,,,
29,494,Condition.18_F_L_A_Sh_01_A_0_1,Female,NA,,,
30,495,Condition.54_M_L_A_Sh_01_B_0_1,Female,NA,,,
31,501,Condition.8_F_L_A_S_01_B_1_1,Male,NA,,,
32,504,Condition.50_M_L_A_Sh_01_A_0_1,Male,NA,,,
33,508,Condition.5_F_L_A_S_01_B_0_0,Female,NA,,,
34,509,Condition.12_F_L_A_S_05_A_1_1,Female,NA,,,
35,511,Condition.33_M_L_A_S_01_A_0_0,Male,NA,,,
36,517,Condition.23_F_L_A_Sh_01_B_1_0,Male,NA,,,
37,521,Condition.24_F_L_A_Sh_01_B_1_1,NO RESPONSE PROVIDED,NA,,,
38,523,Condition.23_F_L_A_Sh_01_B_1_0,Female,NA,,,
39,524,Condition.24_F_L_A_Sh_01_B_1_1,Male,NA,,,
40,531,Condition.41_M_L_A_S_05_A_0_0,Female,NA,,,
41,533,Condition.12_F_L_A_S_05_A_1_1,Male,NA,,,
42,534,Condition.30_F_L_A_Sh_05_B_0_1,Male,NA,,,
43,535,Condition.34_M_L_A_S_01_A_0_1,Male,NA,,,
44,537,Condition.55_M_L_A_Sh_01_B_1_0,Male,NA,,,
45,539,Condition.7_F_L_A_S_01_B_1_0,Male,NA,,,
46,540,Condition.35_M_L_A_S_01_A_1_0,Male,NA,,,
47,541,Condition.45_M_L_A_S_05_B_0_0,Female,NA,,,
48,543,Condition.6_F_L_A_S_01_B_0_1,Male,NA,,,
49,544,Condition.58_M_L_A_Sh_05_A_0_1,Female,NA,,,
50,546,Condition.15_F_L_A_S_05_B_1_0,Male,NA,,,
51,548,Condition.22_F_L_A_Sh_01_B_0_1,Male,NA,,,
52,549,Condition.59_M_L_A_Sh_05_A_1_0,NO RESPONSE PROVIDED,NA,,,
53,550,Condition.36_M_L_A_S_01_A_1_1,Male,NA,,,
54,408,Condition.23_F_L_A_Sh_01_B_1_0,Female,NA,,,
55,420,Condition.12_F_L_A_S_05_A_1_1,Male,NA,,,
56,405,Condition.41_M_L_A_S_05_A_0_0,Male,NA,,,
57,430,Condition.43_M_L_A_S_05_A_1_0,Female,NA,,,
58,419,Condition.24_F_L_A_Sh_01_B_1_1,Male,NA,,,
59,421,Condition.44_M_L_A_S_05_A_1_1,Male,NA,,,
60,431,Condition.32_F_L_A_Sh_05_B_1_1,Female,NA,,,
61,423,Condition.30_F_L_A_Sh_05_B_0_1,Female,NA,,,
62,415,Condition.5_F_L_A_S_01_B_0_0,Female,NA,,,
63,414,Condition.48_M_L_A_S_05_B_1_1,Male,NA,,,
64,440,Condition.14_F_L_A_S_05_B_0_1,Male,NA,,,
